도서관 목록,,,,,,,,,
번호,구분,지역,시군구,도서관명,도서관부호,도서관코드
1,공공(일반),서울,강북구,2020,,,미아문화정보도서관,111383,2060111086
2,공공(일반),서울,강북구,2020,,,강북문화정보도서관,111037,2060111005
3,공공(일반),서울,강북구,2020,,,송중문화정보도서관,111174,2060111068
4,공공(일반),서울,도봉구,2020,,,학마을도서관,111129,2060111050
5,공공(일반),서울,도봉구,2020,,,도봉도서관,111011,2050111008
6,공공(일반),서울,도봉구,2019,,,쌍문채움도서관,111496,20601110035
7,공공(일반),서울,도봉구,2001,,,도봉문화정보도서관,111041,2060111008
8,공공(일반),서울,노원구,2018,,,불암도서관,111485,20601110022
9,공공(일반),서울,노원구,1990,,,노원평생학습관,111022,2050111021
10,공공(일반),서울,노원구,2018,,없음,향기나무도서관,741562,20601110028
11,공공(일반),서울,노원구,2011,,,화랑도서관,111239,2060111071
13,공공(일반),서울,노원구,2007,,,월계문화정보도서관,111085,2060111034
14,공공(일반),서울,노원구,2018,,한내지혜의 숲 도서관,지혜의숲,141619,20601110027
15,공공(일반),서울,중랑구,1999,,,중랑정보도서관,111034,2060111001
16,공공(일반),서울,중랑구,2018,,,양원숲속도서관,111478,20601110029
17,공공(일반),서울,중랑구,2019,,,중랑상봉도서관,111488,20601110034
18,공공(일반),서울,중랑구,2005,,,중랑면목정보도서관,111060,2060111019
19,공공(일반),서울,동대문구,2006,,,동대문구정보화도서관,111065,2060111025
20,공공(일반),서울,동대문구,2019,,,배봉산 숲속도서관,111490,20601110032
21,공공(일반),서울,동대문구,2020,,없음,동대문책마당도서관,711427,20601110042
22,공공(일반),서울,동대문구,1971,,,동대문도서관,111012,2050111009
23,공공(일반),서울,동대문구,2014,,,동대문구 답십리 도서관,111445,2060111090
24,공공(일반),서울,성북구,2019,,,성북길빛도서관,111492,20601110037
25,공공(일반),서울,성북구,2017,,,월곡꿈그림도서관,111464,20601110011
26,공공(일반),서울,성북구,2019,,,장위행복누림도서관,111487,20601110038
27,공공(일반),서울,성북구,2015,,,석관동미리내도서관,111301,20601110007
28,공공(일반),서울,성북구,2015,,,정릉도서관,111380,20601110006
29,공공(일반),서울,성북구,2004,,,아리랑도서관,111048,2060111011
30,공공(일반),서울,종로구,1920,,,종로도서관,111021,2050111016
31,공공(일반),서울,종로구,1977,,,정독도서관,111020,2050111015
32,공공(일반),서울,종로구,2018,,,어린이청소년국학도서관,111486,20601110030
33,공공(일반),서울,은평구,2015,,,상림마을작은도서관,111126,20601110004
34,공공(일반),서울,은평구,2015,,,은평뉴타운도서관,111452,2060111048
35,공공(일반),서울,은평구,2019,,,은뜨락도서관,111491,20601110036
36,공공(일반),서울,은평구,2015,,,구산동도서관마을,111458,20601110001
37,공공(일반),서울,은평구,2018,,,내를건너서숲으로도서관,111482,20601110026
38,공공(일반),서울,은평구,2009,,,응암정보도서관,111124,2060111055
39,공공(일반),서울,은평구,2008,,,증산정보도서관,111110,2060111040
40,공공(일반),서울,서대문구,2011,,서대문홍은도담도서관,홍은도담도서관,111252,2060111073
41,공공(일반),서울,서대문구,1986,,,서대문도서관,111016,2050111011
42,공공(일반),서울,서대문구,2005,,,서대문이진아기념도서관,111051,2060111017
44,공공(일반),서울,마포구,2015,,,마포하늘도서관,111436,20601110002
45,공공(일반),서울,마포구,2017,,,마포중앙도서관,111467,20601110016
46,공공(일반),서울,마포구,1995,,,마포평생학습관,111014,2050111018
47,공공(일반),서울,마포구,2008,,,마포서강도서관,111086,2060111041
48,공공(일반),서울,마포구,1980,,,마포평생학습관 아현분관,111031,2050111019
49,공공(일반),서울,용산구,2017,,,용산 꿈나무도서관,111473,20601110015
50,공공(일반),서울,용산구,1981,,,용산도서관,111019,2050111014
51,공공(일반),서울,용산구,1922,,,남산도서관,111010,2050111007
52,공공(일반),서울,중구,2012,,,서울도서관,111314,2060111078
53,공공(일반),서울,중구,2011,,,어울림도서관,111220,2060111070
54,공공(일반),서울,성동구,2014,,,성동청계도서관,111442,2060111088
